[21-22-51] [ENTRY]: [Nathan]
[21-22-51] [SYSTEM_IO]: System data pared in IOUtil's static block
[21-22-52] [LOGIN]: [AUTOCYPHER ATTEMPT]
[21-22-52] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[21-22-53] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[21-22-53] [SYSTEM_IO]: Userdata requested: Name
[21-22-53] [SYSTEM_IO]: Userdata requested: RandomBackground
[21-22-53] [SYSTEM_IO]: Userdata requested: FullScreen
[21-22-54] [SYSTEM_IO]: Userdata requested: Name
[21-22-54] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-54] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-54] [SYSTEM_IO]: Userdata requested: FullScreen
[21-22-54] [SYSTEM_IO]: Userdata requested: FullScreen
[21-22-54] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-54] [SYSTEM_IO]: Userdata requested: Font
[21-22-54] [SYSTEM_IO]: Userdata requested: OutputBorder
[21-22-54] [SYSTEM_IO]: Userdata requested: FullScreen
[21-22-54] [SYSTEM_IO]: Userdata requested: InputBorder
[21-22-54] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-54] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-54] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-54] [SYSTEM_IO]: Userdata requested: Font
[21-22-54] [SYSTEM_IO]: Userdata requested: OutputFill
[21-22-54] [SYSTEM_IO]: Userdata requested: InputFill
[21-22-54] [SYSTEM_IO]: Userdata requested: consolepinned
[21-22-54] [SYSTEM_IO]: Userdata requested: consolepinned
[21-22-54] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Name: Cyder Splash (title position: LEFT), (980,378,600x600)
[21-22-54] [ACTION]: Console loaded in 3773ms
[21-22-54] [SYSTEM_IO]: Userdata requested: windowlocx
[21-22-54] [SYSTEM_IO]: Userdata requested: windowlocy
[21-22-54] [SYSTEM_IO]: Userdata requested: DebugWindows
[21-22-54] [ENTRY]: [TESTING MODE]
[21-22-54] [SYSTEM_IO]: Userdata requested: laststart
[21-22-54] [SYSTEM_IO]: Userdata requested: IntroMusic
[21-22-57] [CLIENT]: prefs
[21-22-57] [ACTION]: USER EDITOR
[21-22-57] [CONSOLE_OUT]: [STRING] Console loaded in 3773ms
[21-22-58] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-58] [SYSTEM_IO]: Userdata requested: Foreground
[21-22-58] [SYSTEM_IO]: Userdata requested: Background
[21-22-58] [SYSTEM_IO]: Userdata requested: Background
[21-22-58] [SYSTEM_IO]: Userdata requested: Font
[21-22-58] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [1755699716], parentFrame = [Edit User], associated text = [>]
[21-22-59] [ACTION]: [Edit User] [NOTIFICATION] Loading fonts...
[21-22-59] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [1755699716], parentFrame = [Edit User], associated text = [>]
[21-22-59] [SYSTEM_IO]: Userdata requested: randombackground
[21-22-59] [SYSTEM_IO]: Userdata requested: debugwindows
[21-22-59] [SYSTEM_IO]: Userdata requested: intromusic
[21-22-59] [SYSTEM_IO]: Userdata requested: randombackground
[21-22-59] [SYSTEM_IO]: Userdata requested: debugwindows
[21-22-59] [SYSTEM_IO]: Userdata requested: intromusic
[21-22-59] [SYSTEM_IO]: Userdata requested: debugwindows
[21-22-59] [SYSTEM_IO]: Userdata requested: intromusic
[21-22-59] [SYSTEM_IO]: Userdata requested: debugwindows
[21-22-59] [SYSTEM_IO]: Userdata requested: intromusic
[21-23-00] [SYSTEM_IO]: Userdata requested: debugwindows
[21-23-00] [SYSTEM_IO]: Userdata requested: intromusic
[21-23-00] [SYSTEM_IO]: Userdata requested: persistentnotifications
[21-23-00] [SYSTEM_IO]: Userdata requested: debugwindows
[21-23-00] [SYSTEM_IO]: Userdata requested: intromusic
[21-23-01] [SYSTEM_IO]: Userdata requested: randombackground
[21-23-01] [SYSTEM_IO]: Userdata requested: debugwindows
[21-23-01] [SYSTEM_IO]: Userdata requested: intromusic
[21-23-01] [SYSTEM_IO]: Userdata requested: randombackground
[21-23-01] [SYSTEM_IO]: Userdata requested: debugwindows
[21-23-01] [SYSTEM_IO]: Userdata requested: intromusic
[21-23-01] [SYSTEM_IO]: Userdata requested: randombackground
[21-23-01] [SYSTEM_IO]: Userdata requested: debugwindows
[21-23-01] [SYSTEM_IO]: Userdata requested: intromusic
[21-23-01] [SYSTEM_IO]: Userdata requested: randombackground
[21-23-01] [SYSTEM_IO]: Userdata requested: debugwindows
