[12:55:30] [ENTRY]: [WINUSER=Nathan]
[12:55:30] [SYSTEM_IO]: [GET] [UISCALE] [RETURN VALUE] 1.0
[12:55:30] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[12:55:31] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[12:55:31] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[12:55:31] [LOGIN]: [AUTOCYPHERED]
[12:55:31] [SYSTEM_IO]: [GET] [Version] [RETURN VALUE] Soultree
[12:55:31] [SYSTEM_IO]: [GET] [Date] [RETURN VALUE] 7.2.21
[12:55:42] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:56:36] [ACTION]: BUTTON, TEXT = Create User CLICKED
[12:56:36] [LOGIN]: [STD LOGIN]
[12:56:37] [CLIENT_IO]: [GET] [Name] [RETURN VALUE] Nathan
[12:56:37] [CLIENT_IO]: [GET] [RandomBackground] [RETURN VALUE] 0
[12:56:37] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[12:56:37] [SYSTEM_IO]: [GET] [Version] [RETURN VALUE] Soultree
[12:56:37] [CLIENT_IO]: [GET] [Name] [RETURN VALUE] Nathan
[12:56:37] [SYSTEM_IO]: [GET] [ConsoleResizable] [RETURN VALUE] 1
[12:56:37] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] 000000
[12:56:37] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] 000000
[12:56:37] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[12:56:37] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[12:56:37] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] 000000
[12:56:37] [CLIENT_IO]: [GET] [Font] [RETURN VALUE] tahoma
[12:56:37] [CLIENT_IO]: [GET] [OutputBorder] [RETURN VALUE] 0
